cost,price,weight,purchase_date,product_type,product_level,maker,ingredient,height,width,depth
$333k,"$300,492",3 Ton 90 Kg,Dec 19 2008,"Q,B",advanced,M14122,"IN732052,IN732053",2.76 meters,97 cm,26 cm
,"$430,570",3 Ton 30 Kg,Sep 10 1997,"J,D",basic,,"IN732054,IN732055,IN732056,IN732057,IN732058",2.67 meters,98 cm,26 cm
$270k,"$213,070",3 Ton 40 Kg,Sep 05 2001,"J,D",basic,,"IN732054,IN732059,IN732060",3.0 meters,93 cm,24 cm
,"$229,174",3 Ton 50 Kg,Dec 23 2016,U,advanced,M14123,"IN732061,IN732062,IN732063",2.5 meters,102 cm,27 cm
$97k,"$122,659",2 Ton 970 Kg,Jan 12 2000,"D,R",advanced,,"IN732064,IN732065,IN732066",2.47 meters,101 cm,26 cm
$59k,"$60,320",2 Ton 930 Kg,Aug 19 2011,H,super advanced,M14124,"IN732067,IN732068,IN732069,IN732070,IN732071,IN732072",2.71 meters,96 cm,25 cm
,"$182,233",3 Ton 300 Kg,Oct 11 1996,S,super advanced,M14125,"IN732073,IN732074",3.01 meters,96 cm,25 cm
,"$41,155",3 Ton 80 Kg,Jan 08 2010,"B,A",advanced,M14126,IN732075,2.97 meters,94 cm,25 cm
$66k,"$180,759",3 Ton 330 Kg,Aug 01 2014,H,super advanced,,"IN732076,IN732077,IN732073,IN732078,IN732079,IN732080,IN732081,IN732082,IN732083,IN732084",2.71 meters,102 cm,27 cm
$119k,"$182,517",2 Ton 970 Kg,Feb 04 2005,"K,D",advanced,M14127,"IN732085,IN732086,IN732087",2.84 meters,94 cm,25 cm
$160k,"$168,762",3 Ton 440 Kg,Oct 28 2016,H,super advanced,M14128,"IN732088,IN732089,IN732090,IN732091,IN732092",2.91 meters,100 cm,26 cm
$81k,"$228,868",2 Ton 940 Kg,Apr 04 2008,N,advanced,M14129,"IN732093,IN732094,IN732095,IN732096",2.52 meters,99 cm,26 cm
$191k,"$79,384",3 Ton 200 Kg,Dec 21 2001,U,super advanced,M14130,"IN732097,IN732098,IN732099,IN732100,IN732101",2.87 meters,97 cm,25 cm
,"$118,628",3 Ton 50 Kg,Dec 15 2006,"U,A",advanced,M14131,"IN732074,IN732102",2.63 meters,99 cm,26 cm
,"$204,305",3 Ton 20 Kg,Jan 29 2010,"K,D",advanced,M14132,"IN732103,IN732104,IN732105,IN732106",2.54 meters,100 cm,26 cm
,"$20,711",3 Ton 190 Kg,May 13 1998,H,super advanced,M14133,IN732094,2.96 meters,96 cm,25 cm
$22k,"$24,246",3 Ton 10 Kg,Dec 10 1999,D,super advanced,,"IN732107,IN732108,IN732109,IN732110,IN732111",2.55 meters,100 cm,26 cm
$631k,"$524,575",3 Ton 580 Kg,Aug 27 2010,"H,A",advanced,M14122,"IN732076,IN732093,IN732112,IN732113,IN732114,IN732115",2.87 meters,103 cm,27 cm
,"$107,802",2 Ton 890 Kg,Apr 26 2013,G,intermediate,"M14134,M14135",,2.13 meters,107 cm,28 cm
$113k,"$257,688",3 Ton 230 Kg,Jan 09 2009,H,advanced,M14136,"IN732116,IN732117,IN732118,IN732119,IN732120",2.51 meters,104 cm,27 cm
$135k,"$437,664",3 Ton 90 Kg,Dec 28 2012,"D,A",super advanced,M14137,"IN732121,IN732122,IN732123,IN732124,IN732125,IN732126,IN732127,IN732128,IN732129,IN732130",2.05 meters,113 cm,30 cm
$44k,"$83,402",2 Ton 930 Kg,Dec 13 2013,D,super advanced,"M14138,M14139","IN732131,IN732132,IN732133",2.62 meters,97 cm,26 cm
$160k,"$605,022",3 Ton 120 Kg,Mar 27 2015,"D,A",super advanced,M14137,"IN732121,IN732122,IN732126,IN732134,IN732135,IN732124,IN732125",2.93 meters,95 cm,25 cm
,"$4,444",2 Ton 980 Kg,Aug 07 2015,"T,H",advanced,,,2.14 meters,109 cm,28 cm
$97k,"$244,020",3 Ton 70 Kg,Oct 31 2008,"D,R",advanced,M14140,"IN732136,IN732137,IN732138",3.03 meters,93 cm,24 cm
$138k,"$119,493",3 Ton 30 Kg,Jan 26 2001,"D,H",advanced,M14141,"IN732139,IN732140",2.1 meters,111 cm,29 cm
$28k,"$144,294",3 Ton 130 Kg,Apr 09 2004,N,super advanced,M14124,"IN732141,IN732142,IN732143",3.0 meters,94 cm,25 cm
,"$92,690",2 Ton 910 Kg,Feb 22 2008,N,super advanced,M14142,"IN732144,IN732145,IN732146,IN732147,IN732148,IN732149,IN732150",2.95 meters,91 cm,24 cm
,"$37,691",3 Ton 50 Kg,Jul 11 1997,F,super advanced,M14130,IN732101,2.46 meters,103 cm,27 cm
$241k,"$402,187",3 Ton 10 Kg,Mar 19 2004,A,advanced,M14143,"IN732151,IN732152,IN732153,IN732154,IN732155,IN732156,IN732157",2.5 meters,101 cm,26 cm
$194k,"$240,262",3 Ton 90 Kg,May 16 2014,"D,A",super advanced,M14144,"IN732158,IN732159,IN732160,IN732161,IN732137,IN732162,IN732163",2.44 meters,104 cm,27 cm
$197k,"$52,198",3 Ton 250 Kg,Dec 07 2001,"D,A",super advanced,,"IN732164,IN732165,IN732166,IN732167,IN732168,IN732169,IN732170,IN732171",2.38 meters,108 cm,28 cm
$207k,"$664,385",3 Ton 170 Kg,Dec 21 2007,"Q,A",super advanced,M14145,"IN732172,IN732173,IN732174,IN732175,IN732077,IN732176",2.32 meters,108 cm,28 cm
$348k,"$337,549",3 Ton 20 Kg,Dec 19 2014,"Q,A",super advanced,M14146,"IN732177,IN732178,IN732173,IN732176,IN732179,IN732175",3.32 meters,88 cm,23 cm
$97k,"$127,028",3 Ton 130 Kg,Aug 01 2008,N,super advanced,M14147,"IN732180,IN732181,IN732182,IN732183",2.6 meters,101 cm,26 cm
$91k,"$119,127",2 Ton 830 Kg,May 25 2012,"D,A",super advanced,M14148,"IN732184,IN732185,IN732186,IN732187,IN732188,IN732162",2.9 meters,91 cm,24 cm
$176k,"$171,129",3 Ton 170 Kg,Jun 20 2008,W,super advanced,M14149,"IN732189,IN732190,IN732183,IN732191,IN732192,IN732193,IN732194,IN732195,IN732196",2.51 meters,103 cm,27 cm
